Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
1,10,2430.37,24281.8,488,4880,295.9,2959,192.1,1921,39.3648,39.3648,,10911,,1.69033,3.09609,1.83802,1411.08,3732.99,30.9377,28.4533,4.54,4.75,129.324,162.013,35.5215,0d 0h 35m 31s
2,10,2597.03,25946.6,488,4880,316.2,3162,171.8,1718,35.2049,35.2049,,11655,,1.78156,2.61242,0.871238,1202.58,3128.61,21.5103,20.5319,3.78,3.75,90.4872,107.414,34.2768,0d 0h 34m 16s
3,10,2862.38,28595.3,488,4880,348.5,3485,139.5,1395,28.5861,28.5861,,48436,,1.75593,2.32212,0.870413,1075.86,2501.05,20.1211,17.43,3.505,2.85,81.0218,92.3243,35.198,0d 0h 35m 11s
4,10,3068.57,30658.5,488,4880,373.6,3736,114.4,1144,23.4426,23.4426,,39368,,1.84227,2.12772,0.862365,1179.31,3259.35,15.9569,14.7899,2.99,2.85,78.1506,102.136,33.8488,0d 0h 33m 50s
5,10,2960.95,29583.9,488,4880,360.5,3605,127.5,1275,26.127,26.127,,27556,,1.85651,1.64503,0.870514,1200.81,4087.65,24.1471,17.3647,3.53,1.25,107.531,125.177,32.4273,0d 0h 32m 25s
6,10,2435.31,24337.2,488,4880,296.5,2965,191.5,1915,39.2418,39.2418,,64759,,1.77357,2.6084,0.830673,1652.43,3951.55,38.4599,27.5067,6.86,2.85,153.884,165.339,33.7237,0d 0h 33m 43s
7,10,2698.96,26967,488,4880,328.6,3286,159.4,1594,32.6639,32.6639,,39251,,1.81766,2.51048,0.821676,1146.42,3582.49,22.3129,18.8201,4.235,3.75,93.3736,106.846,33.8408,0d 0h 33m 50s
8,10,2246.37,22451.1,488,4880,273.5,2735,214.5,2145,43.9549,43.9549,,16351,,1.69372,2.61256,0.87152,2063.13,4480.87,31.0183,31.5691,5.5,5.05,154.922,202.152,35.6368,0d 0h 35m 38s
9,10,2768.77,27663.1,488,4880,337.1,3371,150.9,1509,30.9221,30.9221,,58920,,1.8113,2.41896,0.870954,1536.54,4480.87,22.0334,20.1153,3.945,2.85,116.048,168.421,34.0778,0d 0h 34m 4s
10,10,2509.9,25078.9,488,4880,305.6,3056,182.4,1824,37.377,37.377,,43516,,1.72562,2.61247,1.83783,1029.83,3258.12,24.3698,22.2385,5.385,4.45,87.326,98.3092,34.9705,0d 0h 34m 58s
11,10,2657.6,26544.7,488,4880,323.6,3236,164.4,1644,33.6885,33.6885,,6856,,1.83812,2.03227,0.871376,1359.98,3012.94,24.853,22.0553,3.855,3.75,112.625,122.337,32.9017,0d 0h 32m 54s
12,10,2778.62,27763.5,488,4880,338.3,3383,149.7,1497,30.6762,30.6762,,58965,,1.80083,2.6124,0.870905,2632.72,6439.06,41.3069,35.3692,3.88,3.75,226.834,268.349,34.0002,0d 0h 34m 0s
13,10,2707.16,27052.1,488,4880,329.6,3296,158.4,1584,32.459,32.459,,21020,,1.71951,2.31783,0.843024,1556.72,3844.07,27.2736,21.4549,3.91,2.85,123.58,130.766,35.8222,0d 0h 35m 49s
14,10,2890.34,28880.6,488,4880,351.9,3519,136.1,1361,27.8893,27.8893,,16454,,1.9262,2.32216,0.870807,1053.52,2652.76,18.9805,16.2501,3.665,2.85,83.2272,95.4102,32.0126,0d 0h 32m 0s
15,10,2536.33,25342.5,488,4880,308.8,3088,179.2,1792,36.7213,36.7213,,49874,,1.73213,2.5156,0.871152,1060.97,3020.52,22.571,19.4922,4.935,3.75,89.614,100.198,35.1303,0d 0h 35m 7s
16,10,2379.4,23770,488,4880,289.7,2897,198.3,1983,40.6352,40.6352,,44942,,1.68187,2.90266,0.871537,1686.72,3599.96,30.9847,28.2846,4.665,4.75,141.594,154.447,36.541,0d 0h 36m 32s
17,10,2583.93,25817.9,488,4880,314.6,3146,173.4,1734,35.5328,35.5328,,8818,,1.77317,2.32219,0.87034,1475.6,3576.97,30.1065,27.2455,3.6,3.75,129.813,158.295,34.2757,0d 0h 34m 16s
18,10,2843.51,28410,488,4880,346.2,3462,141.8,1418,29.0574,29.0574,,51751,,1.8199,2.032,0.871246,1488.4,3483.93,22.0185,19.9612,3,2.85,111.518,129.027,34.0177,0d 0h 34m 1s
19,10,2255.42,22539.6,488,4880,274.6,2746,213.4,2134,43.7295,43.7295,,53885,,1.70663,3.28936,1.8377,1655.21,3025.43,33.9265,31.2408,6.2,4.85,142.964,154.114,33.8843,0d 0h 33m 53s
20,10,2203.59,22018.8,488,4880,268.3,2683,219.7,2197,45.0205,45.0205,,41678,,1.60848,3.19294,1.8383,1293.44,2322.09,25.488,24.8121,6.155,5.75,98.8441,109.916,37.3774,0d 0h 37m 22s
21,10,2870.6,28678.9,488,4880,349.5,3495,138.5,1385,28.3811,28.3811,,52856,,1.75226,2.22544,0.870101,946.257,3277.2,17.2755,15.8913,3.775,2.85,67.0603,81.2504,35.1795,0d 0h 35m 10s
22,10,2546.18,25442.6,488,4880,310,3100,178,1780,36.4754,36.4754,,38567,,1.74432,2.70915,0.870954,1428.23,3483.94,28.1942,26.1166,4.44,4.15,124.443,152.706,34.799,0d 0h 34m 47s
23,10,2354.82,23528.6,488,4880,286.7,2867,201.3,2013,41.25,41.25,,2959,,1.69731,3.19211,1.83104,1363.24,3163.39,28.8377,27.4952,5.58,5.05,119.231,132.478,33.9183,0d 0h 33m 55s
24,10,2479.66,24778.2,488,4880,301.9,3019,186.1,1861,38.1352,38.1352,,28849,,1.73829,2.51562,0.871037,1289.34,3809.21,36.4074,32.6604,6.35,4.75,127.628,145.034,34.8429,0d 0h 34m 50s
25,10,2464.02,24622.2,488,4880,300,3000,188,1880,38.5246,38.5246,,41128,,1.72938,2.80584,1.83808,1061.95,2010.67,24.7047,22.5889,4.485,3.75,90.2179,94.5803,34.6982,0d 0h 34m 41s
26,10,2348.22,23464.6,488,4880,285.9,2859,202.1,2021,41.4139,41.4139,,3072,,1.76381,2.61232,0.870709,1615.81,3917.32,34.1375,30.606,5.87,4.75,145.832,161.831,33.4943,0d 0h 33m 29s
27,10,2181.45,21798.2,488,4880,265.6,2656,222.4,2224,45.5738,45.5738,,19266,,1.68727,2.9026,0.870877,1223.23,1969.53,30.6709,25.5333,6.705,4.75,111.224,111.427,34.3973,0d 0h 34m 23s
28,10,2891.73,28888.3,488,4880,352.1,3521,135.9,1359,27.8484,27.8484,,23282,,1.78655,2.51558,0.870404,1029.93,3038.22,17.3262,15.1877,3.49,3.75,77.2211,94.9691,34.5287,0d 0h 34m 31s
29,10,2247.17,22460.4,488,4880,273.6,2736,214.4,2144,43.9344,43.9344,,7616,,1.68796,2.89997,0.845077,1537.99,3019.1,35.3081,30.8464,5.615,4.75,143.216,159.276,35.5035,0d 0h 35m 30s
30,10,2433.67,24313.9,488,4880,296.3,2963,191.7,1917,39.2828,39.2828,,25909,,1.64269,2.90264,1.83818,1480.54,3948.43,33.0869,29.7878,4.805,4.75,134.108,162.534,35.6029,0d 0h 35m 36s
31,10,3220.49,32174,488,4880,392.1,3921,95.9,959,19.6516,19.6516,,29146,,1.94351,1.64495,0.870631,705.931,1889.11,11.472,10.4371,2.22,1.95,46.2876,55.7813,32.3084,0d 0h 32m 18s
32,10,2423.8,24217.3,488,4880,295.1,2951,192.9,1929,39.5287,39.5287,,12318,,1.75726,2.41911,1.83807,1490.99,3593.02,25.4178,25.8639,4.115,3.75,118.423,162.34,34.5447,0d 0h 34m 32s
33,10,2286.63,22847.1,488,4880,278.4,2784,209.6,2096,42.9508,42.9508,,20345,,1.67843,2.99939,1.83812,1332.66,3261.63,30.0948,27.8808,5.535,4.75,118.899,134.246,35.5598,0d 0h 35m 33s
34,10,2529.76,25272.8,488,4880,308,3080,180,1800,36.8852,36.8852,,51675,,1.79895,2.61253,0.871295,1232.76,3012.26,22.105,19.9513,3.94,3.75,91.7588,100.052,33.8967,0d 0h 33m 53s
35,10,2522.36,25201.4,488,4880,307.1,3071,180.9,1809,37.0697,37.0697,,27762,,1.74766,2.80575,1.8379,1926.89,3884.76,32.1833,30.5908,3.87,3.75,157.501,180.017,34.6765,0d 0h 34m 40s
36,10,2350.68,23486.8,488,4880,286.2,2862,201.8,2018,41.3525,41.3525,,56447,,1.66668,2.90282,0.871015,1890.38,4480.87,32.5959,30.5222,5.145,4.75,161.167,195.8,36.3442,0d 0h 36m 20s
37,10,2838.58,28358.9,488,4880,345.6,3456,142.4,1424,29.1803,29.1803,,13238,,1.72579,2.41908,0.871236,2167.79,4266.68,29.1387,26.8487,3.55,3.75,164.799,194.372,35.7737,0d 0h 35m 46s
38,10,2149.47,21477.7,488,4880,261.7,2617,226.3,2263,46.373,46.373,,15610,,1.63405,3.19254,1.8379,1839.89,3633.25,33.245,31.1418,5.525,5.05,157.983,176.16,37.1899,0d 0h 37m 11s
39,10,2798.1,27938.7,488,4880,340.7,3407,147.3,1473,30.1844,30.1844,,33491,,1.77384,2.22538,0.870505,1147.6,3102.67,20.7989,16.7368,3.665,2.85,91.7209,100.026,35.009,0d 0h 35m 0s
40,10,3146.55,31438.9,488,4880,383.1,3831,104.9,1049,21.4959,21.4959,,8932,,1.98099,1.83469,0.870839,1447.7,3559.74,19.4954,15.6924,2.31,1.45,108.817,134.012,31.9844,0d 0h 31m 59s
41,10,2546.17,25441.7,488,4880,310,3100,178,1780,36.4754,36.4754,,60479,,1.80155,2.32194,0.871024,685.037,1309.24,16.1203,15.3035,3.68,2.95,53.3332,60.2035,34.353,0d 0h 34m 21s
42,10,2740.03,27373.8,488,4880,333.6,3336,154.4,1544,31.6393,31.6393,,24591,,1.76231,2.61225,0.870652,870.267,1185.01,18.8926,17.2194,3.75,3.75,73.7915,75.2677,33.9832,0d 0h 33m 58s
43,10,2929.77,29272.7,488,4880,356.7,3567,131.3,1313,26.9057,26.9057,,29075,,1.84249,2.12659,0.849695,1501.42,3024.14,23.04,22.1238,3.145,2.85,116.965,133.464,32.9952,0d 0h 32m 59s
44,10,2627.99,26223,488,4880,320,3200,168,1680,34.4262,34.4262,,62094,,1.72687,2.61246,0.870382,1062.27,3165.95,23.5454,19.9441,4.595,3.75,90.5967,98.2731,34.0017,0d 0h 34m 0s
45,10,2173.25,21722.6,488,4880,264.6,2646,223.4,2234,45.7787,45.7787,,6382,,1.78701,2.70929,0.871016,1623.39,3948.92,38.7821,33.8283,7.025,5.75,147.737,169.933,33.3937,0d 0h 33m 23s
46,10,2952.71,29503.6,488,4880,359.5,3595,128.5,1285,26.332,26.332,,8717,,1.79265,2.12863,0.8709,646.719,1267.61,14.699,13.7742,2.93,2.85,51.6464,56.774,33.236,0d 0h 33m 14s
47,10,2478.02,24759.5,488,4880,301.7,3017,186.3,1863,38.1762,38.1762,,31785,,1.75175,2.61275,0.871227,1051.85,3157.85,19.4268,18.0936,4.03,3.75,75.7847,91.0997,34.949,0d 0h 34m 56s
48,10,2938.79,29361.4,488,4880,357.8,3578,130.2,1302,26.6803,26.6803,,5565,,1.88005,2.03192,0.87015,1090.33,4480.87,17.3022,16.1922,3.03,2.85,79.6222,126.948,32.4378,0d 0h 32m 26s
49,10,2695.64,26940.1,488,4880,328.2,3282,159.8,1598,32.7459,32.7459,,35345,,1.7612,2.32233,0.870697,1817.18,3845.59,27.5787,24.2651,3.62,2.95,137.077,163.351,34.2664,0d 0h 34m 15s
50,10,2592.11,25897.1,488,4880,315.6,3156,172.4,1724,35.3279,35.3279,,51999,,1.7491,2.22539,0.871523,1391.52,2459.46,21.8468,21.4039,3.16,3.05,104.484,108.778,35.4122,0d 0h 35m 24s
51,10,2821.31,28192.1,488,4880,343.5,3435,144.5,1445,29.6107,29.6107,,46579,,1.7628,2.22548,0.871493,893.002,2303.01,16.3299,15.1485,3.095,3.05,65.4035,74.7121,34.4179,0d 0h 34m 25s
52,10,2814.75,28122.5,488,4880,342.7,3427,145.3,1453,29.7746,29.7746,,3492,,1.79832,2.41893,0.870992,853.868,1666.78,17.3443,16.0178,3.38,3.75,65.6197,70.1735,34.0462,0d 0h 34m 2s
53,10,2643.91,26415.3,488,4880,321.9,3219,166.1,1661,34.0369,34.0369,,43234,,1.67992,2.61238,0.871271,999.188,2027.95,22.1524,20.5655,4.19,4.25,84.2312,88.3721,35.4694,0d 0h 35m 28s
54,10,2694.86,26926,488,4880,328.1,3281,159.9,1599,32.7664,32.7664,,55035,,1.74852,2.22521,0.871271,926.539,1070.19,17.7183,15.9464,3.26,2.85,68.3619,69.185,35.0469,0d 0h 35m 2s
55,10,2402.45,24003.4,488,4880,292.5,2925,195.5,1955,40.0615,40.0615,,23378,,1.70251,3.09588,0.871148,1118.82,3021.49,25.5309,21.0227,5.34,3.75,99.0751,123.864,35.2636,0d 0h 35m 15s
56,10,2347.4,23453.8,488,4880,285.8,2858,202.2,2022,41.4344,41.4344,,43129,,1.72961,2.70921,0.870378,966.3,2556.03,31.4436,23.9876,6.535,3.75,98.5138,106.207,34.7097,0d 0h 34m 42s
57,10,2931.4,29285.9,488,4880,356.9,3569,131.1,1311,26.8648,26.8648,,54166,,1.87871,2.12848,0.870206,1219.01,3585.19,21.3883,19.0549,5.03,2.85,95.6806,114.108,32.5822,0d 0h 32m 34s
58,10,2685.01,26828.2,488,4880,326.9,3269,161.1,1611,33.0123,33.0123,,45114,,1.79581,2.70702,0.850449,1147.06,2428.15,27.6613,22.9938,4.27,3.75,103.36,115.25,33.4872,0d 0h 33m 29s
59,10,2540.4,25379.7,488,4880,309.3,3093,178.7,1787,36.6189,36.6189,,28171,,1.81351,2.70925,0.871608,1149.87,3999.1,26.7317,23.9458,4.135,3.85,108.291,141.803,33.0373,0d 0h 33m 2s
60,10,2797.51,27953.6,488,4880,340.6,3406,147.4,1474,30.2049,30.2049,,42982,,1.76854,2.03202,0.871087,1034.16,2297.18,19.4602,17.3972,3.265,2.85,80.1272,88.5167,34.5984,0d 0h 34m 35s
61,10,2372.04,23700.7,488,4880,288.8,2888,199.2,1992,40.8197,40.8197,,24535,,1.74858,2.7091,0.870792,1425.41,3932.68,24.8172,24.0322,5.965,4.75,109.513,138.478,34.6064,0d 0h 34m 36s
62,10,3089.93,30873.9,488,4880,376.2,3762,111.8,1118,22.9098,22.9098,,2298,,1.82275,2.03179,0.87034,946.883,1774.92,13.6662,12.2671,2.87,2.85,59.8253,63.3189,33.9459,0d 0h 33m 56s
