Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
1,10,2380.27,23782.5,488,4880,289.8,2898,198.2,1982,40.6148,40.6148,,52976,,0.82216,1.74178,0.870802,1753.02,3512.23,33.0003,25.6212,3.955,2.05,147.59,156.157,132.159,0d 2h 12m 9s
2,10,2347.39,23453.5,488,4880,285.8,2858,202.2,2022,41.4344,41.4344,,56711,,0.80534,2.32225,0.870671,2825.73,10080.9,58.2474,52.3405,4.065,3.75,275.445,418.944,135.479,0d 2h 15m 28s
3,10,2356.39,23543.7,488,4880,286.9,2869,201.1,2011,41.209,41.209,,38537,,0.823292,2.032,0.870771,1867.94,3498.32,36.4378,31.7372,3.58,2.85,165.324,168.076,133.951,0d 2h 13m 57s
4,10,1618.01,16167.2,488,4880,197,1970,291,2910,59.6311,59.6311,,64940,,0.794181,3.48275,1.83822,2158.54,3888.89,67.6046,56.62,7.375,6.6,250.56,261.408,134.981,0d 2h 14m 58s
5,10,2342.5,23405.9,488,4880,285.2,2852,202.8,2028,41.5574,41.5574,,64136,,0.793002,1.93534,0.870915,2722.9,5916.6,51.7592,46.4409,3.135,2.85,251.32,293.241,136.373,0d 2h 16m 22s
6,10,2156.84,21547.5,488,4880,262.6,2626,225.4,2254,46.1885,46.1885,,48934,,0.84377,2.51565,1.8377,2004.88,3958.93,38.661,38.2259,4.33,4.75,177.042,202.3,129.402,0d 2h 9m 24s
7,10,2178.16,21762.4,488,4880,265.2,2652,222.8,2228,45.6557,45.6557,,21811,,0.8254,1.93526,0.870577,2396.58,4140.53,54.8887,50.5976,3.605,2.85,239.852,270.185,132.379,0d 2h 12m 22s
8,10,1769.2,17677.7,488,4880,215.4,2154,272.6,2726,55.8607,55.8607,,49950,,0.790038,2.99952,0.871508,1867.51,3710.84,46.8549,43.4189,5.07,5.75,192.983,203.374,139.458,0d 2h 19m 27s
9,10,2455.81,24542.3,488,4880,299,2990,189,1890,38.7295,38.7295,,18353,,0.872925,1.83857,0.870893,2015.05,4821.14,43.9368,38.734,3.01,2.85,199.182,231.82,124.945,0d 2h 4m 56s
10,10,1564.62,15634.8,488,4880,190.5,1905,297.5,2975,60.9631,60.9631,,45523,,0.800869,2.99924,0.871044,1694.04,3912.66,62.7973,50.5172,7.54,5.75,213.547,235.049,133.777,0d 2h 13m 46s
11,10,1807.8,18061.9,488,4880,220.1,2201,267.9,2679,54.8975,54.8975,,35226,,0.796917,2.61237,0.870605,2196.6,3872.14,62.4472,48.7431,4.83,3.75,239.243,244.408,137.673,0d 2h 17m 40s
12,10,2619.74,26143.3,488,4880,319,3190,169,1690,34.6311,34.6311,,25862,,0.829403,2.03181,0.870866,1661.87,3796.72,33.648,28.3972,2.965,2.85,142.729,154.368,132.201,0d 2h 12m 12s
13,10,1997.52,19957.2,488,4880,243.2,2432,244.8,2448,50.1639,50.1639,,50748,,0.831481,2.41899,0.870651,1560.34,4761.26,66.7909,40.4039,7.24,2.85,205.545,240.857,131.843,0d 2h 11m 50s
14,10,1832.4,18315.4,488,4880,223.1,2231,264.9,2649,54.2828,54.2828,,58025,,0.863715,2.80596,0.871185,1967.99,3998.99,56.2859,46.4295,6.135,5.75,214.497,222.41,122.256,0d 2h 2m 15s
15,10,1788.9,17872.9,488,4880,217.8,2178,270.2,2702,55.3689,55.3689,,29804,,0.808525,2.70924,0.87112,2265.5,3937.24,66.8146,51.345,4.76,3.75,260.973,251.845,133.61,0d 2h 13m 36s
16,10,1909.64,19080,488,4880,232.5,2325,255.5,2555,52.3566,52.3566,,14663,,0.824171,2.41921,0.871496,2424.01,4566.56,61.716,54.7566,4.3,3.75,258.321,267.842,132.559,0d 2h 12m 33s
17,10,1972.05,19704.1,488,4880,240.1,2401,247.9,2479,50.7992,50.7992,,3574,,0.799157,2.22574,0.871436,2661.4,5386.94,65.4132,56.5164,4.16,4.15,282.19,302.365,137.705,0d 2h 17m 42s
18,10,2304.72,23025.6,488,4880,280.6,2806,207.4,2074,42.5,42.5,,20293,,0.779047,2.22535,0.870678,2301.68,4480.87,54.7688,46.0473,3.695,2.05,235.742,281.293,141.713,0d 2h 21m 42s
19,10,1524.95,15225.2,488,4880,185.7,1857,302.3,3023,61.9467,61.9467,,54086,,0.784365,2.90269,1.83917,2731.17,4730.16,73.5577,71.6714,6.09,5.75,305.315,350.566,138.16,0d 2h 18m 9s
20,10,2347.42,23456.7,488,4880,285.8,2858,202.2,2022,41.4344,41.4344,,55530,,0.847909,1.93526,0.871101,2579.94,4193.23,60.9861,51.4429,3.25,2.85,262.731,283.218,130.012,0d 2h 10m 0s
21,10,2248.03,22465.1,488,4880,273.7,2737,214.3,2143,43.9139,43.9139,,10388,,0.857407,2.2253,0.870297,1895.65,4111.27,61.8299,42.3073,3.765,2.85,226.871,250.725,128.313,0d 2h 8m 18s
22,10,2343.32,23416,488,4880,285.3,2853,202.7,2027,41.5369,41.5369,,15185,,0.828573,1.8384,0.871224,1709.08,3646.78,35.1357,31.239,2.95,2.85,153.65,166.871,132.539,0d 2h 12m 32s
23,10,2059.94,20585.6,488,4880,250.8,2508,237.2,2372,48.6066,48.6066,,49082,,0.844034,2.12883,0.870966,2298.14,5582.91,46.9211,38.0189,4.49,2.85,213.769,221.556,127.168,0d 2h 7m 10s
24,10,2384.32,23828,488,4880,290.3,2903,197.7,1977,40.5123,40.5123,,3526,,0.86301,2.12856,0.870335,2859.9,4480.87,55.4444,44.186,3.43,1.85,266.872,289.835,126.303,0d 2h 6m 18s
25,10,2239.01,22374.2,488,4880,272.6,2726,215.4,2154,44.1393,44.1393,,37192,,0.825284,2.41887,0.870676,1657.05,3713.57,66.0394,37.1823,4.565,1.85,224.611,244.195,133.266,0d 2h 13m 15s
26,10,2026.16,20245.3,488,4880,246.7,2467,241.3,2413,49.4467,49.4467,,2778,,0.855084,2.32234,0.871404,1782.12,3033.55,44.2495,35.4788,5.055,3.15,176.742,170.929,126.207,0d 2h 6m 12s
27,10,2267.44,22642.6,488,4880,276.1,2761,211.9,2119,43.4221,43.4221,,11569,,0.867554,2.32222,0.87083,1883.33,3783.29,46.485,38.4828,4.015,3.75,187.687,205.691,125.626,0d 2h 5m 37s
28,10,2150.28,21484.3,488,4880,261.8,2618,226.2,2262,46.3525,46.3525,,18252,,0.796657,2.51554,0.870142,1540.16,3585.65,43.7689,31.6911,5.175,2.85,165.978,165.993,136.84,0d 2h 16m 50s
29,10,2186.41,21847.3,488,4880,266.2,2662,221.8,2218,45.4508,45.4508,,58013,,0.843448,2.41888,0.871164,2598.07,4480.87,52.4595,46.0879,3.83,3.75,248.93,277.135,129.354,0d 2h 9m 21s
30,10,1356.87,13560,488,4880,165.2,1652,322.8,3228,66.1475,66.1475,,29116,,0.78932,3.096,1.83799,2209.24,4775.73,101.245,82.7849,7.425,5.75,321.582,363.142,137.705,0d 2h 17m 42s
31,10,1784.8,17831.5,488,4880,217.3,2173,270.7,2707,55.4713,55.4713,,22203,,0.793738,2.80592,0.871198,3180.69,7266.07,98.7197,71.3765,6.595,4.75,378.122,393.298,136.669,0d 2h 16m 40s
32,10,2523.2,25209.4,488,4880,307.2,3072,180.8,1808,37.0492,37.0492,,16251,,0.858723,2.03209,0.870976,3008.4,10080.9,58.3678,54.1562,3.39,2.85,285.224,408.599,127.771,0d 2h 7m 46s
33,10,1944.13,19425.9,488,4880,236.7,2367,251.3,2513,51.4959,51.4959,,24395,,0.808154,2.70534,0.835452,1831.62,3813.11,58.7876,43.0274,5.86,3.75,209.996,221.763,135.414,0d 2h 15m 24s
34,10,1739.57,17383.2,488,4880,211.8,2118,276.2,2762,56.5984,56.5984,,19344,,0.806096,2.806,0.871658,2420.52,4562.27,67.6085,53.1802,5.96,4.75,263.798,267.703,134.794,0d 2h 14m 47s
35,10,2093.61,20916.5,488,4880,254.9,2549,233.1,2331,47.7664,47.7664,,44545,,0.83199,2.51562,0.870909,2576.48,8045.53,56.6798,48.9265,3.97,3.75,271.869,335.376,130.404,0d 2h 10m 24s
36,10,1990.14,19883.4,488,4880,242.3,2423,245.7,2457,50.3484,50.3484,,32752,,0.795461,2.61256,0.870932,1894.76,3715.17,53.8817,43.175,4.58,3.75,207.414,230.819,136.949,0d 2h 16m 56s
37,10,2345.76,23440.2,488,4880,285.6,2856,202.4,2024,41.4754,41.4754,,17346,,0.842864,2.12876,0.870604,1755.85,6092.14,45.8377,35.8788,4.37,3.05,184.085,233.386,128.93,0d 2h 8m 55s
