Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
1,10,3015.95,30132.6,488,4880,367.2,3672,120.8,1208,24.7541,24.7541,,30355,,3.42016,2.32246,0.871576,755.816,1261.65,15.3801,13.9604,4.585,3.75,56.2657,60.1204,10.7101,0d 0h 10m 42s
2,10,3209.83,32072.4,488,4880,390.8,3908,97.2,972,19.918,19.918,,9745,,3.53457,2.61211,0.871235,991.637,2005.43,13.3016,12.4803,3.355,3.75,59.927,63.6384,10.9546,0d 0h 10m 57s
3,10,3243.51,32406.3,488,4880,394.9,3949,93.1,931,19.0779,19.0779,,5604,,3.55449,2.70893,0.870972,1009.44,3654.14,15.513,14.0966,3.69,3.75,72.715,99.3615,10.8067,0d 0h 10m 48s
4,10,2985.23,29796.6,488,4880,363.5,3635,124.5,1245,25.5123,25.5123,,38159,,3.36961,2.60838,0.871463,613.274,1198.28,14.1008,14.0612,3.715,3.75,43.61,48.3959,11.1939,0d 0h 11m 11s
5,10,3323.1,33201.1,488,4880,404.6,4046,83.4,834,17.0902,17.0902,,51635,,3.61751,2.90274,0.871381,1420.93,3543.56,17.882,17.0322,3.595,3.75,95.6223,118.651,10.6053,0d 0h 10m 36s
6,10,3210.64,32082.1,488,4880,390.9,3909,97.1,971,19.8975,19.8975,,51211,,3.38332,2.80153,0.828167,940.04,3016.68,14.3492,13.5378,3.885,3.75,64.2662,85.9451,11.2765,0d 0h 11m 16s
7,10,3324.79,33218.9,488,4880,404.8,4048,83.2,832,17.0492,17.0492,,10787,,3.79452,2.41899,0.871117,1188.95,4481.25,14.6668,14.7501,3.05,3.45,78.4141,115.579,10.0092,0d 0h 10m 0s
8,10,3251.7,32490.6,488,4880,395.9,3959,92.1,921,18.873,18.873,,61376,,3.63493,2.51556,0.871258,827.247,2035.47,12.7001,11.6927,3.09,2.85,56.4045,72.853,10.7366,0d 0h 10m 44s
9,10,2727.68,27267.1,488,4880,332.1,3321,155.9,1559,31.9467,31.9467,,62710,,3.12314,3.18697,1.83805,1700.84,3618.16,33.3377,29.4114,7.85,6.65,136.315,150.744,11.4332,0d 0h 11m 25s
10,10,2949.45,29470.4,488,4880,359.1,3591,128.9,1289,26.4139,26.4139,,31011,,3.41231,2.61229,0.870717,1398.03,3251.89,16.3646,15.5002,4.21,3.75,85.3952,101.498,11.2432,0d 0h 11m 14s
11,10,3229.53,32264.8,488,4880,393.2,3932,94.8,948,19.4262,19.4262,,26191,,3.46112,2.70914,0.8709,1228.83,3032.16,16.598,15.8137,3.42,3.75,82.2411,88.7594,11.0721,0d 0h 11m 4s
12,10,2983.97,29820.3,488,4880,363.3,3633,124.7,1247,25.5533,25.5533,,59971,,3.26863,2.80591,0.871494,1009.15,2247.08,18.7615,17.6215,5.355,4.75,73.5856,77.7259,11.3311,0d 0h 11m 19s
13,10,3358.46,33553.2,488,4880,408.9,4089,79.1,791,16.209,16.209,,23717,,3.47252,2.70767,1.83805,1037.4,2650.32,14.814,14.7138,3.34,3.75,66.9832,84.1301,10.8573,0d 0h 10m 51s
14,10,3347,33439.6,488,4880,407.5,4075,80.5,805,16.4959,16.4959,,49734,,3.99026,2.22525,0.87076,1010.66,2013.02,12.6558,11.3745,2.69,2.25,62.7967,68.2695,9.80144,0d 0h 9m 48s
15,10,3250.09,32479.9,488,4880,395.7,3957,92.3,923,18.9139,18.9139,,56565,,3.60272,2.41905,0.871043,671.814,1262.79,12.5087,11.7822,3.505,3.75,45.1444,49.7609,10.5973,0d 0h 10m 35s
16,10,3268.93,32663.3,488,4880,398,3980,90,900,18.4426,18.4426,,9840,,3.58196,2.22574,0.8715,1123.1,3563.96,15.777,13.5464,3.43,2.85,77.071,102.02,10.8184,0d 0h 10m 49s
17,10,3231.99,32296.7,488,4880,393.5,3935,94.5,945,19.3648,19.3648,,63895,,3.60447,2.5157,0.870855,923.847,3249.16,12.6267,12.0154,3.3,3.75,55.7876,72.9897,10.6402,0d 0h 10m 38s
18,10,3093.21,30907.2,488,4880,376.6,3766,111.4,1114,22.8279,22.8279,,13526,,3.52046,2.41899,0.871034,751.193,1275.4,13.2239,11.9007,3.605,2.95,53.0987,58.0913,11.001,0d 0h 11m 0s
19,10,3278.82,32762.6,488,4880,399.2,3992,88.8,888,18.1967,18.1967,,833,,3.58106,2.40879,0.812888,883.522,2577.15,13.3288,12.3732,3.42,2.85,56.6705,72.0836,10.8178,0d 0h 10m 49s
20,10,3425.04,34220.4,488,4880,417,4170,71,710,14.5492,14.5492,,9441,,3.89214,1.93524,0.871425,890.499,2249.08,12.9021,12.7576,2.28,2.85,59.0377,72.5468,10.0479,0d 0h 10m 2s
21,10,2970.81,29682.8,488,4880,361.7,3617,126.3,1263,25.8811,25.8811,,42961,,3.31851,2.61185,0.863562,1147,2251.88,16.4318,15.8972,4.425,4.05,71.7028,76.8306,10.924,0d 0h 10m 55s
22,10,3282.9,32798.4,488,4880,399.7,3997,88.3,883,18.0943,18.0943,,22708,,3.47629,2.61245,0.870103,1162.91,4480.87,17.8114,17.895,3.69,3.75,88.0633,156.21,10.6462,0d 0h 10m 38s
