Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
1,10,3959.73,39559.3,488,4880,482.1,4821,5.9,59,1.20902,1.20902,,43388,,17.9792,2.41879,0.871177,528.216,2971.34,4.93426,4.92875,2.44,2.85,28.0667,55.1562,0.709682,0d 0h 0m 42s
2,10,3825.03,38223.7,488,4880,465.7,4657,22.3,223,4.56967,4.56967,,23904,,21.0678,2.22549,0.871034,411.363,1368.5,3.59209,3.61224,2.22,1.85,19.2311,29.5976,0.591056,0d 0h 0m 35s
3,10,3884.97,38816.4,488,4880,473,4730,15,150,3.07377,3.07377,,55958,,15.8934,2.41881,1.83782,590.255,1268.9,4.78266,4.78532,2.54,2.85,28.3401,37.3568,0.802459,0d 0h 0m 48s
4,10,3978.63,39754.1,488,4880,484.4,4844,3.6,36,0.737705,0.737705,,12894,,21.7457,2.31944,0.870734,453.574,1257.14,3.65091,3.65932,2.33,2.85,20.9801,30.7274,0.542946,0d 0h 0m 32s
5,10,3874.31,38705.6,488,4880,471.7,4717,16.3,163,3.34016,3.34016,,52554,,16.469,2.61219,0.871188,390.107,1273.58,4.66649,4.69005,2.62,2.85,18.9162,25.9117,0.790622,0d 0h 0m 47s
6,10,3898.95,38958,488,4880,474.7,4747,13.3,133,2.72541,2.72541,,49980,,15.2382,2.70916,0.87089,477.184,1248.64,5.62953,5.59263,3.23,2.85,24.2335,31.6517,0.782195,0d 0h 0m 46s
7,10,3862.8,38591,488,4880,470.3,4703,17.7,177,3.62705,3.62705,,15471,,13.1802,2.99608,0.840621,686.933,2021.22,6.81895,6.86762,3.49,3.75,34.2047,45.0794,0.971588,0d 0h 0m 58s
8,10,3987.66,39844.9,488,4880,485.5,4855,2.5,25,0.512295,0.512295,,12221,,19.7731,2.12849,0.870651,670.586,3003.92,5.2728,5.26174,2.54,1.85,34.2204,59.6986,0.54261,0d 0h 0m 32s
9,10,3835.71,38320.2,488,4880,467,4670,21,210,4.30328,4.30328,,8425,,21.9153,2.41144,0.835279,575.767,2010.59,4.08543,4.05447,2.52,2.85,27.3893,43.6101,0.500903,0d 0h 0m 30s
