Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
1,10,3988.47,39852,488,4880,485.6,4856,2.4,24,0.491803,0.491803,,40221,,15.9791,3.38456,1.83864,726.194,1263.33,5.52331,5.52102,3.39,3.75,33.2679,40.0618,0.591705,0d 0h 0m 35s
2,10,4004.91,40015.4,488,4880,487.6,4876,0.4,4,0.0819672,0.0819672,,9193,,22.6651,2.32211,0.870671,623.523,1675.73,4.11215,4.11222,2.32,2.85,29.8034,39.6519,0.421462,0d 0h 0m 25s
3,10,3946.59,39435.6,488,4880,480.5,4805,7.5,75,1.53689,1.53689,,61024,,16.3606,2.51556,0.871053,268.47,1013.5,4.09998,4.05476,2.62,2.85,13.3964,19.2848,0.717453,0d 0h 0m 43s
4,10,3918.66,39150.7,488,4880,477.1,4771,10.9,109,2.23361,2.23361,,14090,,20.7715,2.6126,0.871011,490.878,1994.7,4.48306,4.51432,2.71,2.85,24.6208,42.9199,0.455669,0d 0h 0m 27s
5,10,4005.73,40024.5,488,4880,487.7,4877,0.3,3,0.0614754,0.0614754,,4875,,22.1209,2.41892,0.871186,501.096,1679.92,4.34389,4.34371,2.67,1.85,25.2996,38.1301,0.415327,0d 0h 0m 24s
6,10,3921.95,39185.1,488,4880,477.5,4775,10.5,105,2.15164,2.15164,,26414,,19.3141,2.61063,0.87109,382.22,1679.89,3.89669,3.89487,2.62,1.85,17.9927,31.7931,0.528308,0d 0h 0m 31s
7,10,3835.71,38322.6,488,4880,467,4670,21,210,4.30328,4.30328,,5233,,22.502,2.51561,0.871016,911.111,4735.71,6.94386,6.31883,2.52,1.85,56.2905,104.853,0.412097,0d 0h 0m 24s
8,10,3935.9,39324.3,488,4880,479.2,4792,8.8,88,1.80328,1.80328,,32945,,20.8401,2.0307,0.870909,340.751,2009.48,3.3462,3.34605,2.03,1.85,16.0328,30.6657,0.550943,0d 0h 0m 33s
9,10,3923.59,39202.5,488,4880,477.7,4777,10.3,103,2.11066,2.11066,,5542,,20.5672,2.80349,0.871097,244.578,687.611,3.63786,3.62661,2.92,3.75,11.3217,17.5647,0.413028,0d 0h 0m 24s
