Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
26,10,4002.83,39965.7,282,2820,281.2,2812,0.8,8,0.283688,0.283688,,49322,,20.5231,2.5155,0.870832,533.141,1649.65,5.13531,5.1312,2.53,2.85,32.7369,46.8433,0.336958,0d 0h 0m 20s
27,10,3796.44,37904.3,282,2820,266.7,2667,15.3,153,5.42553,5.42553,,48297,,21.0897,2.51558,0.871001,220.567,1257.47,3.77591,3.82398,2.52,2.85,13.727,26.3872,0.334399,0d 0h 0m 20s
28,10,3847.67,38418.1,282,2820,270.3,2703,11.7,117,4.14894,4.14894,,61492,,17.1827,2.90271,0.87117,354.814,1258.76,5.0528,5.04342,3.01,2.85,22.1442,32.2435,0.4007,0d 0h 0m 24s
29,10,3839.14,38348.7,282,2820,269.7,2697,12.3,123,4.3617,4.3617,,11521,,15.6772,2.70618,0.871162,429.737,1132.89,6.06464,6.16776,2.82,2.85,30.1025,44.3796,0.485545,0d 0h 0m 29s
30,10,3994.29,39880.8,282,2820,280.6,2806,1.4,14,0.496454,0.496454,,51039,,20.0041,2.51553,0.871042,491.937,1669.34,5.3306,5.32785,2.52,2.85,31.9538,52.0383,0.324127,0d 0h 0m 19s
31,10,3834.85,38289.1,282,2820,269.4,2694,12.6,126,4.46809,4.46809,,48887,,19.2548,2.90269,0.870651,576.218,1283.01,5.8814,5.8297,3,3.75,35.7202,48.5845,0.319977,0d 0h 0m 19s
32,10,3910.3,39053.8,282,2820,274.7,2747,7.3,73,2.58865,2.58865,,54952,,18.8733,2.70895,0.87051,498.142,1289.88,5.33057,5.32287,2.72,2.85,30.3523,41.586,0.343182,0d 0h 0m 20s
33,10,3602.83,35974.4,282,2820,253.1,2531,28.9,289,10.2482,10.2482,,60381,,18.6099,2.51529,0.870832,365.306,1265.72,5.22702,5.37672,2.76,2.85,24.5717,43.7935,0.376316,0d 0h 0m 22s
34,10,3947.31,39409.5,282,2820,277.3,2773,4.7,47,1.66667,1.66667,,48706,,21.3272,2.32198,0.870454,875.441,3256.77,6.03705,6.0233,2.41,2.85,52.5793,77.4107,0.306741,0d 0h 0m 18s
35,10,3884.69,38782.5,282,2820,272.9,2729,9.1,91,3.22695,3.22695,,46698,,21.9758,2.32212,0.871062,726.806,1680.87,6.68643,6.46493,2.32,2.85,48.487,61.249,0.428615,0d 0h 0m 25s
